1012808484000189019466846     EMPRESA DEMONSTRACAO               BOA VIAGEM                    PE813755148920111201201112312311
11                                                                                                                000000000000
742011123100000000000449-000000004000-000000008585112808484000189019466846     PE                                             10000000000214600000
74201112310000000000045200000009900000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000045100000009980000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000044400000009980000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000044500000009720000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000044600000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000074900000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000075000000010010000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000075100000009920000000004072557112808484000189019466846     PE                                             10000000000410500000
74201112310000000000047100000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000049900000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000077800000010000000000000654550112808484000189019466846     PE                                             10000000000065500000
74201112310000000000053200000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000053300000009950000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000009700000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000060600000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000060700000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000077700000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000014000000010000000000004665050112808484000189019466846     PE                                             10000000000466500000
74201112310000000000014100000009970000000003535761112808484000189019466846     PE                                             10000000000354600000
74201112310000000000014200000009980000000060797461112808484000189019466846     PE                                             10000000006091900000
74201112310000000000092400000010000000000060919300112808484000189019466846     PE                                             10000000006091900000
74201112310000000000014300000010000000000028919800112808484000189019466846     PE                                             10000000002892000000
74201112310000000000092500000010000000000031065450112808484000189019466846     PE                                             10000000003106500000
74201112310000000000014400000010000000000021362250112808484000189019466846     PE                                             10000000002136200000
74201112310000000000014500000009990000000032619448112808484000189019466846     PE                                             10000000003265200000
74201112310000000000078000000009950000000027384042112808484000189019466846     PE                                             10000000002752200000
74201112310000000000092800000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000001100000010000000001303272100112808484000189019466846     PE                                             10000000130327200000
74201112310000000000087000000010000000000000654550112808484000189019466846     PE                                             10000000000065500000
74201112310000000000087100000010000000000013434200112808484000189019466846     PE                                             10000000001343400000
74201112310000000000036300000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000008000000010000000000210184000112808484000189019466846     PE                                             10000000021018400000
74201112310000000000092100000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000033900000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000092700000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000061700000009990000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000065200000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000014700000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000013900000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000039800000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000080800000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000039700000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000072000000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000039400000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000099500000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000049200000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000099700000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
74201112310000000000043500000010000000000000000000112808484000189019466846     PE                                             10000000000000000000
