TABELA CEST 2018;;;;;;;
CÓDIGO SEGMENTO;DESCRIÇÃO SEGMENTO;ITEM;CEST;NCM;DESCRIÇÃO;INÍCIO VIGÊNCIA;FINAL VIGÊNCIA
1;Autopeças;10;100100;38151210;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;01/07/2017;
1;Autopeças;10;100100;38151290;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;01/07/2017;
1;Autopeças;20;100200;3917;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos;01/07/2017;
1;Autopeças;30;100300;39181000;Protetores de caçamba;01/07/2017;
1;Autopeças;40;100400;39233000;Reservatórios de óleo;01/07/2017;
1;Autopeças;50;100500;39263000;Frisos, decalques, molduras e acabamentos;01/07/2017;
1;Autopeças;60;100600;40103;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;01/07/2017;
1;Autopeças;60;100600;59100000;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;01/07/2017;
1;Autopeças;70;100700;40169300;Juntas, gaxetas e outros elementos com função semelhante de vedação;01/07/2017;
1;Autopeças;70;100700;4823909;Juntas, gaxetas e outros elementos com função semelhante de vedação;01/07/2017;
1;Autopeças;80;100800;40161010;Partes de veículos automóveis, tratores e máquinas autopropulsadas;01/07/2017;
1;Autopeças;90;100900;57050000;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;01/07/2017;
1;Autopeças;90;100900;40169990;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;01/07/2017;
1;Autopeças;100;101000;59039000;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico;01/07/2017;
1;Autopeças;110;101100;59090000;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias;01/07/2017;
1;Autopeças;120;101200;63061;Encerados e toldos;01/07/2017;
1;Autopeças;130;101300;65061000;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores;01/07/2017;
1;Autopeças;140;101400;6813;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias;01/07/2017;
1;Autopeças;150;101500;70072100;Vidros de dimensões e formatos que permitam aplicação automotiva;01/07/2017;
1;Autopeças;150;101500;70071100;Vidros de dimensões e formatos que permitam aplicação automotiva;01/07/2017;
1;Autopeças;160;101600;70091000;Espelhos retrovisores;01/07/2017;
1;Autopeças;170;101700;70140000;Lentes de faróis, lanternas e outros utensílios;01/07/2017;
1;Autopeças;180;101800;73110000;Cilindro de aço para GNV (gás natural veicular);01/07/2017;
1;Autopeças;190;101900;73110000;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0;01/07/2017;
1;Autopeças;200;102000;7320;Molas e folhas de molas, de ferro ou aço;01/07/2017;
