P112808484000189042995663                   CELESTE ALIMENTOS                                 
P212808484000189001 CIMENTO NASSAU 25KG                                                      00001CIMENTO NASSAU 25KG                     T2500000000000000
P212808484000189001CIMENTO NASSAU 50KG                                                       00002CIMENTO NASSAU 50KG                     T0341000000000000
P212808484000189001VERGALHAO CA 50 5/16 GERDAU                                               00004VERGALHAO CA 50 5/16 GERDAU             T1700000000000000
P212808484000189001VERGALHAO CA 50 3/8  GERDAU                                               00005VERGALHAO CA 50 3/8  GERDAU             T1700000000000000
P212808484000189001PISO CER. 30X30 CAPRI CORAL R                                             00022PISO CER. 30X30 CAPRI CORAL R           T1700000000000000
P212808484000189001VERGALHAO CA 50 1/2  GERDAU                                               00006VERGALHAO CA 50 1/2  GERDAU             T1700000000000000
P212808484000189001VERGALHAO CA 60 4.2MM ROLO GERDAU                                         00008VERGALHAO CA 60 4.2MM ROLO GERDAU       T1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE BRANCO C                                           00078PISO CER. 30X30 NUANCE BRANCO C         T1700000000000000
P212808484000189001VERGALHAO CA 60 5.0MM ROLO GERDAU                                         00009VERGALHAO CA 60 5.0MM ROLO GERDAU       T1700000000000000
P212808484000189001JNJNINJINIJNIJNIUJNINIJNIJ                                                00150JNJNINJINIJNIJNIUJNINIJNIJ              T1700000000000000
P212808484000189001ARAME RECOZIDO 18 GERDAU                                                  00011ARAME RECOZIDO 18 GERDAU                T1700000000000000
P212808484000189001PISO CER. 30X30 NUANCE ESMERALDA C                                        00033PISO CER. 30X30 NUANCE ESMERALDA C      T1700000000000000
P212808484000189001PREGO GERDAU 1.1/2X13                                                     00012PREGO GERDAU 1.1/2X13                   I0000000000000000
P212808484000189001PREGO GERDAU 2.1/2X10                                                     00013PREGO GERDAU 2.1/2X10                   T1700000000000000
P2128084840001890011                                                                         001511                                       T1700000214125400
P212808484000189001CAIXA FORTLEV FIBRA DE VIDRO 5000 L C/TP                                  00031CAIXA FORTLEV FIBRA DE VIDRO 5000 L C/TPT1700000000000000
P212808484000189001PREGO GERDAU 2X12                                                         00014PREGO GERDAU 2X12                       T1700000000000000
P212808484000189001PREGO GERDAU 3X8                                                          00015PREGO GERDAU 3X8                        T1700000000000000
P212808484000189001ESTRIBO VERGALHAO 4.2 (7X22)                                              00107ESTRIBO VERGALHAO 4.2 (7X22)            T1700000000000000
P212808484000189001                                                                          00016PREGO TELHEIRO 2.1/2X10                 T1700000000000000
P212808484000189001                                                                          00017GRAMPO GALVANIZADO 1X9 GERDAU           T1700000000000000
